날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021.1.1,108,-4.2,-9.8,1.6
2021.1.2,108,-5,-8.4,-1.4
2021.1.3,108,-5.6,-9.1,-2
2021.1.4,108,-3.5,-8.4,0.3
2021.1.5,108,-5.5,-9.9,-2.1
2021.1.6,108,-7.4,-12,-1.9
2021.1.7,108,-14.5,-16.5,-8.4
2021.1.8,108,-14.9,-18.6,-10.7
2021.1.9,108,-12.2,-16.6,-7.5
2021.1.10,108,-7.7,-12.8,-2.7
2021.1.11,108,-6.7,-9.6,-4
2021.1.12,108,-3.9,-9.3,-0.5
2021.1.13,108,2,-3,8.3
2021.1.14,108,1.7,-3.6,7
2021.1.15,108,4.5,-0.7,9.9
2021.1.16,108,-4.9,-8.7,-0.7
2021.1.17,108,-5.5,-10.8,-1.3
2021.1.18,108,-3.8,-9.1,0.2
2021.1.19,108,-6.3,-11.6,-0.2
2021.1.20,108,-0.1,-6.6,7.1
2021.1.21,108,4.5,2.5,7
2021.1.22,108,5.5,4.8,6.6
2021.1.23,108,7.6,4.8,12.2
2021.1.24,108,7.3,2.4,13.9
2021.1.25,108,7.9,3,13.9
2021.1.26,108,5.3,1.7,7.4
2021.1.27,108,1.7,-1.8,6.5
2021.1.28,108,-2.6,-9.7,1.4
2021.1.29,108,-8.8,-11.6,-4.9
2021.1.30,108,-1.6,-8.1,5.2
2021.1.31,108,3.2,-3.8,8.7
2021.2.1,108,5,-2.3,9.5
2021.2.2,108,-5.6,-8.2,-2.4
2021.2.3,108,-3.2,-9.4,1.4
2021.2.4,108,-3.6,-7.4,0.7
2021.2.5,108,1.4,-4.4,6.7
2021.2.6,108,6.8,4.3,9.5
2021.2.7,108,3.6,-2.6,7.7
2021.2.8,108,-3.1,-5.4,0.2
2021.2.9,108,-0.9,-6.1,4.7
2021.2.10,108,3.4,-1.5,7.2
2021.2.11,108,5.5,1.3,10.9
2021.2.12,108,6.5,0.6,14
2021.2.13,108,7.6,1,15.9
2021.2.14,108,9.5,6.4,13.8
2021.2.15,108,1.2,-5.2,8.2
2021.2.16,108,-5.1,-7,-1.3
2021.2.17,108,-8.3,-10.4,-5.2
2021.2.18,108,-5.8,-10.6,-0.4
2021.2.19,108,1.6,-7.1,8.9
2021.2.20,108,8.8,5.5,14.9
2021.2.21,108,10.8,4.7,17.4
2021.2.22,108,7.8,0.4,12.6
2021.2.23,108,0,-3.1,4.3
2021.2.24,108,2.9,-3,10.1
2021.2.25,108,4.2,0.7,8.2
2021.2.26,108,8.2,0.5,15.8
2021.2.27,108,9.5,4.3,16.2
2021.2.28,108,7.8,3.2,10.8
2021.3.1,108,4.7,0.5,9
2021.3.2,108,2.3,0.2,6.9
2021.3.3,108,4.4,-1.2,9.9
2021.3.4,108,7.2,2.5,13
2021.3.5,108,9,3,16.2
2021.3.6,108,6.6,3.2,11.6
